Location,Address,24 Hours,Mon-Fri,Sat,Latitude,Longitude,Closest_Circle_K_Add,Circle_K_Latitude,Circle_K_Longitude,Distance_km,Closest_Circle_K_Loc
Quarry Bay,"Shop No. 3, G/F, AIA Hong Kong Tower, No. 734 King's Road, Quarry Bay, Hong Kong",24 Hours,,,22.291188,114.207922,"Shop No. A at Podium Level 1, Phase 1, Healthy Village, Tsat Tsz Mui Road, North Point, Hong Kong",22.2918325,114.2060903,0.201797797235891,North Point
North Point,Kiosk No. NOP 3 at MTR North Point Station,,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.29136677,114.2005007,"Shop No.4, G/F., Cheong Yuen Apartments, Nos.2,4,6,8,8A Tsat Tsz Mui Road, North Point",22.2906342,114.2007566,0.0852991882435416,North Point
Causeway Bay,"Ground Floor, No. 60 Percival Street, Causeway Bay, Hong Kong",24 Hours,,,22.2792054,114.183211,"Shop No.K G/F., Po Ming Building, 2-6 Foo Ming Street,49-57 Lee Garden Road, 96-106 Percival Street, Hong Kong",22.2784909,114.1835534,0.0866319482237571,Causeway Bay
Causeway Bay,"G/F, Golden Bloom Centre, Nos. 25-27 Jardine's Bazaar, Causeway Bay, Hong Kong",24 Hours,,,22.279626,114.184803,"G/F., 33 Jardine's Bazaar, Hong Kong",22.2795144,114.1849559,0.0200255264686303,Causeway Bay
Causeway Bay,"Shop A & Portion of Shop B, Ground Floor, Vulcan House, Nos. 21-23 Leighton Road, Causeway Bay, Hong Kong",24 Hours,,,22.2771123,114.1817885,"G/F & Cockloft, 5 Canal Road East, Hong Kong",22.2787376,114.1814101,0.1841526622824454,Wanchai
Western,"Unit 1, Ground Floor, Yue Yee Mansion, Nos. 18A, 20 & 20A Belcher's Street, Western, Hong Kong",24 Hours,,,22.2836251,114.1309763,"Shop 6 on Ground Floor, Sands House,Nos.10,12,14 & 18 Sands Street Nos.39, 39A & 39B Belcher’s Street, Hong Kong",22.283467,114.1300622,0.0958161145107256,Sai Wan
Wan Chai,"Shop Nos. 134-135, First Floor, Sun Hung Kai Centre, No. 30 Harbour Road, Wan Chai, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2803654,114.1769119,"Shop G4B G/F., Pak Ling Building, 368-374 Lockhart Road, Hong Kong",22.2791602,114.1794431,0.2930176616484911,Wanchai
Sheung Wan,"Shop No. 3, Ground Floor and Upper Ground Floor, Hollywood Terrace, No. 123 Hollywood Road, Hong Kong",24 Hours,,,22.2841043,114.1513376,"Shop No.1 G/F., & Open Yard Nos.10-16 Cochrane Street, Hong Kong",22.2831647,114.1546298,0.3548747425544555,Central
Quarry Bay,"Shop 5 & 6D, Ground Floor, Hoi Kwong Court, Nos.13-15 Hoi Kwong Street, Quarry Bay, Hong Kong",24 Hours,,,22.287844,114.211047,"No.16, G/F., Hoi Kwong Court, Nos. 13-15 Hoi Kwong Street, Hong Kong",22.287844,114.211047,0.0,Quarry Bay
Sheung Wan,"Shop No. 106, 1/F, Infinitus Plaza, No. 199 Des Voeux Road Central, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2864399,114.1536781,"Shop 11, 12 and 13, G/F., Western Market, 323 Des Voeux Road, Sheung Wan, Hong Kong",22.287287,114.150392,0.3513945138680125,Sheung Wan
Western,"Portion of Shop C, Ground Floor, Man Kwong Court, No. 12 Smithfield, Hong Kong",24 Hours,,,22.2821878,114.1284681,"Shop B2 & Shop C G/F., Luen Wai Apartments, Nos. 136, 136A, 138, 140 & 142 Belcher??s Street, Nos. 7 & 7A Davis Street, Hong Kong",22.2822362,114.1270344,0.1478494047396669,Sai Wan
Shau Kei Wan,"Shop No. 9, G/F, Hing Tung Shopping Centre, Hing Tung Estate, Yiu Hing Road, Shau Kei Wan, Hong Kong",,Monday to Friday: 0700-2330,Saturday: 0700-2330,22.2807126,114.2200446,"Shop B G/F., Nos 106-108 Shau Kei Wan Road, Hong Kong",22.2821321,114.2216237,0.2262549080771826,Shau Kei Wan
Central,"Ground Floor, No. 76 Wellington Street, Central, Kong Kong",24 Hours,,,22.2822906,114.1549376,"Shop No.1 G/F., & Open Yard Nos.10-16 Cochrane Street, Hong Kong",22.2831647,114.1546298,0.1018578739285655,Central
Central,Kiosk No. CEN K7b at Unpaid Concourse of MTR Central Station,,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.2799907,114.1587983,Kiosk No. CEN E7 MTR Central Station,22.2819989,114.1576766,0.2506280725125144,Central
Aberdeen,"Shop No. G10, Ground Floor, One Island South, No. 2 Heung Yip Road, Wong Chuk Hang, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2485555,114.1689398,No. WCH 8 at MTR Wong Chuk Hang Station,22.24818,114.16835,0.0736563608882341,Wong Chuk Hang
North Point,"Shop No. 5, G/F, Island Lodge, No. 15 Kam Hong Street, North Point, Hong Kong",24 Hours,,,22.2923934,114.2016892,"G/F, No. 484 King’s Road, Hong Kong",22.2912043,114.2015413,0.1325532001055969,North Point
Central,"Shop Y2, G/F, Euro Trade Centre, Nos.13-14 Connaught Road Central & Nos. 21-23 Des Voeux Road Central, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.282815,114.157614,Kiosk No. CEN E7 MTR Central Station,22.2819989,114.1576766,0.0906000826054342,Central
Wan Chai,"Ground Floor and Cockloft, No. 72 Thomson Road, Wan Chai, Hong Kong",24 Hours,,,22.2770565,114.1735458,"Shop E G/F. , Lee Wing Building, Nos. 156, 160 & 162 Hennessy Road, Nos. 7A & 7B O’Brien Road, Hong Kong",22.2774551,114.1735215,0.0442095755389096,Wanchai
