Location,Address,Opening Hours,Latitude,Longitude,Closest_7_11_Add,7_11_Latitude,7_11_Longitude,Distance_km,Closest_7_11_Loc
Sai Wan,"G/F., Nos. 333 & 335 Des Voeux Road West, Hong Kong",24 Hours,22.2875596,114.1386087,"Portion of Flat B, Ground Floor, Nos. 316-320 Des Voeux Road West, Sai Wan, Hong Kong",22.2872151,114.1387216,0.0398826939489282,Western
Sai Wan,"G/F., No. 232 Des Voeux Road West, Hong Kong",24 Hours,22.287784,114.142217,"Shop A, G/F, Kaiser Centre, No. 18 Centre Street, Sai Ying Pun, Hong Kong",22.2875521,114.1421936,0.025792230286723,Western
Sai Wan,"Shop B2 & Shop C G/F., Luen Wai Apartments, Nos. 136, 136A, 138, 140 & 142 Belcher??s Street, Nos. 7 & 7A Davis Street, Hong Kong",24 Hours,22.2822362,114.1270344,"Shop B, G/F, Luen Hong Apartment, 116-122A Belcher’s Street, Kennedy Town, Hong Kong",22.2822611,114.1274462,0.0425281693457007,Western
Sai Wan,"Shop 2C on Ground Floor, Harbour View Garden Tower III, 2 Catchick Street, Hong Kong.",07:00-00:00,22.2833392,114.1293274,"Shop B, G/F, Ka Ming Building, No. 56 Belcher’s Street, Kennedy Town, Western, Hong Kong",22.2825522,114.12897,0.0946115364084548,Western
Sai Wan,"Ground Floor, 202 Centre, No. 202 Des Voeux Road West, Hong Kong",24 Hours,22.287718,114.142918,"Shop A, G/F, Kaiser Centre, No. 18 Centre Street, Sai Ying Pun, Hong Kong",22.2875521,114.1421936,0.0768785076324959,Western
Sai Wan,"Shop 6 on Ground Floor, Sands House,Nos.10,12,14 & 18 Sands Street Nos.39, 39A & 39B Belcher’s Street, Hong Kong",24 Hours,22.283467,114.1300622,"Unit 1, Ground Floor, Yue Yee Mansion, Nos. 18A, 20 & 20A Belcher's Street, Western, Hong Kong",22.2836251,114.1309763,0.0958161145107256,Western
Causeway Bay,"Shop No.2 G/F., Wai Tak Bldg., Nos.414, 418 -430 Lockhart Road, Hong Kong",24 Hours,22.2796274,114.1807668,"Shop No. 2, G/F, Yan Wo Yuet Building, Nos. 432-436 Hennessy Road, Causeway Bay, Hong Kong",22.2792596,114.1815795,0.0931331990274347,Causeway Bay
Causeway Bay,"G/F., 33 Jardine's Bazaar, Hong Kong",24 Hours,22.2795144,114.1849559,"G/F, Golden Bloom Centre, Nos. 25-27 Jardine's Bazaar, Causeway Bay, Hong Kong",22.279626,114.184803,0.0200255264686303,Causeway Bay
Causeway Bay,"Shop No.K G/F., Po Ming Building, 2-6 Foo Ming Street,49-57 Lee Garden Road, 96-106 Percival Street, Hong Kong",24 Hours,22.2784909,114.1835534,"Shop J, G/F, Po Ming Building, 49-57 Lee Garden Road, Causeway Bay, Hong Kong",22.2784909,114.1835534,0.0,Causeway Bay
Causeway Bay,"Shop Nos. 9-12 on Ground Floor and Unit Nos. 9-11 on First Floor, Excelsior Plaza, Yee On Building, No. 26 East Point Road, Hong Kong",24 Hours,22.2811112,114.1844027,Kiosk CAB E11 at Unpaid Concourse of MTR Causeway Bay Station,22.2803747,114.1850421,0.1048498188342258,Causeway Bay
Causeway Bay,"Shop B on Ground Floor, Po Hon Building, 24-30 Percival Street, Hong Kong",24 Hours,22.2806683,114.1825387,"Shop G, G/F, Pun Tak Building, Nos. 478-484 Lockhart Road, Causeway Bay, Hong Kong",22.2801919,114.182229,0.0616575310419279,Causeway Bay
Causeway Bay,"Ground Floor, No.50 Yun Ping Road, Hong Kong",24 Hours,22.279346,114.1843557,"G/F, Golden Bloom Centre, Nos. 25-27 Jardine's Bazaar, Causeway Bay, Hong Kong",22.279626,114.184803,0.0555551862615315,Causeway Bay
Tin Hau,KIOSK TIH 2 at Tin Hau MTR Station,06:00-22:00,22.2824215,114.1917258,"Shop 8&25, G/F, Golden Court, Nos. 22-52 Electric Road, Nos. 1A – 1C Lau Sin Street, Nos. 2 – 8 Yacht Road, Hong Kong",22.2833639,114.1919131,0.1061259680376144,North Point
Tin Hau,"Shop Nos. 9 & 9A, G/F., Kam Tao Building, 2-10B Whitfield Road, Hong Kong",07:00-23:00,22.2867373,114.1909836,"Shop No. 2, G/F, Union Park Tower, No. 168 Electric Road, North Point, Hong Kong",22.2874868,114.1921686,0.1476515172808048,North Point
Tin Hau,"Shop H, G/F., Kiu Hing Mansion, 14 King's Road, Hong Kong",24 Hours,22.2829732,114.1925625,"Shop 8&25, G/F, Golden Court, Nos. 22-52 Electric Road, Nos. 1A – 1C Lau Sin Street, Nos. 2 – 8 Yacht Road, Hong Kong",22.2833639,114.1919131,0.0796909393075892,North Point
